,ID,REPLY,LIKE,LIKE2
1213,마이콜,1:39 여기서 문제 자전거를 모르는고객이 자전거를 사러왔다 원가는 80만원이다 이때 얼마에 팔아야할까?1).752).803).854).905).95 정답:4번 95만원을했다간 신고당할 수 있으니 90만원에 한다 자전거를모르니 비싸도 그런가보다 하기 때문이다,0,0
1214,ㄱ,3:13:11,0,0
1215,김성환,이택조 사투리 어색해서 저컨셉은 버리길잘한듯,2,2
1216,슾하클링,아빠 동창회 따라갔다가 아빠 어딨는지 몰라서 다른 아저씨한테 울 아빠 어딧냐고 물어봄 니 아빠가 누군데!!! 호통침xxx인데여 하니까 xxx이 누군데!!!!!!  (울아빠 동창회장인가 그거임) xxx이요 하니까 그게 누군데 썌끼야 이럼 속으로 욕하고 문어 먹으러 감,0,0
1217,흑구신,영상에서 왜 술냄새랑 담배냄새 목욕탕 스킨냄새가 나냐 ;,3,3
1218,공주님,1:00:15 뒤에아저씨들이 더 젊어보이노,0,0
1219,찌니,이번엔 너로 정했다,2,2
1220,qqqppp0015,#34:24,0,0
1221,김도훈,아빠 왜 거기있어...,1,1
1222,철수,진짜 우리 아빠 패러디 아니노..,1,1
1223,Tsubaki Sakurai,광고가 다닥다닥 붙어있네..,0,0
1224,박재홍,6:26,0,0
1225,나라우리,광용이 나올때 자막좀 달아주세요... 진심 안들러,1,1
1226,SEONGJIN CHO,꼰대충 대표 특징 : 별 쓰잘떼기 없는 거에 의미부여하고 규범화해서 옆사람 ㅈㄴ  피곤하게 만듦,0,0
1227,Sujin C,ㅋㅋㅋㅋㅋ,0,0
1228,S T,여긴 뭐하는 채널이에요?,0,0
1229,강박콩,ㅇㄷ 2:02:57,0,0
1230,킴율,1:32:16 여기 계속 전화상 여자분이 '응응' 하는 것 같은 소리 저만 들리나요??뭐지 뭐지,1,1
1231,White,이건 쪼인해야지 아 ㅋㅋ,0,0
1232,지은,이 사람들 혼자 등산하는거 보기도 싫음 평생 넷이해라,0,0
1233,강박콩,ㅇㄷ 2:24:08,0,0
1234,로크박스,@1:04:55 아니 그럼 빌려준돈을 다 잃어버렷단건 삥땅쳣단건가?,0,0
1235,착한사람,ㅋㅋㅋ,0,0
1236,이수민,1:45:58 발에다 물 담그자고,0,0
1237,빠이띵,1:45:59 발에다 물 ㅅㅂㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㅋㄱㅋㄱㅋㄱㅋㅋ,0,0
1238,김태형,24:34,0,0
1239,뽐뽐,GOAT,0,0
1240,깔루아밀크,여기가 국회야? 왜이래~,0,0
1241,나는너구리부인,망치로 먼저 대가리 맞아욬ㅋㅋㅋㅋㅋㅋㅋ애드립이죠?,0,0
1242,하늘구름,46:30 나만말려,1,1
1243,Mina Na,열쩡 열쩡 열쩡,0,0
1244,가산,열쩡,0,0
1245,홍중빈,영남회장님..육군본부가서 김재규잡힌거에요..ㅋㅋㅋㅋㅋ컨셉오지노,0,0
1246,송승엽,아니 7남8녀며는 .....에반데..;,0,0
1247,cocouning,2:02:49 어깨트임fㅐ션,1,1
1248,이진형,1:45:58 발에다 물담그자고,0,0
1249,김지한,7남? 8녀??!!!!???,0,0
1250,protocol4,니들도 금방늙는다. 꼰대 희화화 하지마라. 근데...웃기긴 허다 ㅋㅋㅋ,0,0
1251,Katie,근데 몸매가 너무 아저씨.같아요 ㅋㅋㅋ 일부러 뱃살 안빼는 거죠? ㅋ,0,0
1252,엄마는외계인,다 다봤는데  이제 모 보노 ㅜㅜ ...........,0,0
1253,게렌합북,김영남이 임키 큰아빠 그분 맞아?,0,0
1254,다오리 넌 뇌가 없다,홍상수 저리기라네,0,0
1255,프렌치불독,1:37:46 ㅇㄷ,1,1
1256,Pink Freak,"3:13:06 ""광용이는 어디갔노?""",1,1
1257,JJ,"광용샘 대구 남자,,?",0,0
1258,우희수,34:28 ㅅㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0
1259,피치,7번째부인..,0,0
1260,혬니,7남8녀 미쳣냐곸ㅋㅋㅋㅋㅋㅋ,0,0
1261,저스틴,시벌 이게 연기라고??,0,0
1262,터닝포인트,민수 저케릭 볼때마다 짜증이네 ㅋ,0,0
1263,Drill UK,ㅋㅋ,0,0
1264,JW H,사람이 쪼다 김평호씨?,0,0
1265,Toygoon,1:05:36 ?,0,0
1266,김찬욱,알고리즘 왜뜬거임 나 학생인데,0,0
1267,H H H,이게연기라고???????,0,0
1268,로얄밀크티,코좀 그만먹어요 ㅠ,0,0
1269,나다,26:53 먹은거야?,0,0
1270,거북선,공룡,0,0
1271,사랑해요짱구오빠,빨간옷 턱중인가,0,0
1272,아.지친다,아줌마는 없어요? 칙칙해요,0,0
1273,O,32:31 ㅊㄱㅍ,1,1
1274,팩트만말하는사람,아...모르고댓글지움....,0,0
1275,천공이,2:37:00 ㅊㄱㅍ,1,1
1276,세히하이,,0,0
1277,Andrew,11:25 ㅈㄴ ㅇㄱㄴ ㅋㅋㅋ,2,2
1278,김철진,.,0,0
1279,라떼에우유빼고주세요,02:13:00 ㅊㄱㅍ,0,0
1280,트윙클,46:30 왜 나만 또 말려 시x,6,6
1281,삐뽀,ㅊㄱㅍ 1:20:00,0,0
1282,미췬텐션,오합지졸이네,0,0
1283,Bella,나 지금 뭐보는거에요,1,1
1284,w.b,34:20 ㅁㅣㅊㅣ ㅎ ㅎ,13,13
1285,도리,이게 왜 연관이지? ㅡㅡ  산악회는 일단 거른다,0,0
1286,sootay,가래침 끌어 올리는 소리 정말 역겨워요. 그것만 빼면 재밌게 볼수 있었을텐데 아쉽네요.,0,0
