,ID,REPLY,LIKE,LIKE2
141,패트릭,"맥밀러 굿뉴스라니 ㅠㅠㅠㅠ플리 너무좋아요,.,, 계속 반복듣기중",3,3
142,Gun,첫 노래처럼 이런 플레리스트 R&B 소울 힙버전으로  섞여있는 그루브가 진짜 개발린다 이런거 듣는 사람이 진정한 노래좀 들을줄 아는 사람이다,1,1
143,soya k,우연히 틀어졌는데 너무좋아요 ㅠㅠㅠㅠㅠㅠㅠㅠ,1,1
144,Rachel,저 일할 때 이거 맨날 틀어놔요. 감각적이고 리듬도 참 좋네요ㅎㅎ 노동요에 최적입니다,0,0
145,오복맘빠,믿고 듣는 에센셜,0,0
146,키키,진짜 어떻게 아는거야? 너무 좋잖아...,0,0
147,홍윤,미친플리 미친 감성 에센셜 당신 어쩌면 좋냐구! :),9,9
148,최중민,이렇게 완벽한 플리는 처음인거 같네요,0,0
149,Sunflowers And Roses,Spotify please ,0,0
150,임허니,에센셜 첫노래 진짜 최고에요 와..,0,0
151,모를MOREUL,와 진짜 좋다...,29,29
152,서울,이노래 엄청 들었는데 언제까지  연관동영상에 뜨는거지.. 너무 좋네요 ㅎㅎ몇번들어야 연관동영상에 안뜨는거지.. 씼을때 잘때 화장할때 옷입을때 밥먹을때 셀카찍을때 페메할때 맨날 이영상만 봅니다 호호 감사해욤,0,0
153,김소연,믿고듣는 에센셜,0,0
154,허선우,항상 좋은 노래 감사합니다,0,0
155,양예찬,썸네일 audrey mika라는 가수의 앨범 표지랍니다!Y U gotta B like that노래 좋고 최근에 신곡도 냈으니까 많이 들어바주세요><,140,140
156,매일 영어코칭하는 소다맘,너무 좋다 ️,0,0
157,anti,와.. 첫곡부터 너무좋아서 고개가 멈추질않음,80,80
158,아임유얼버니IMYOURBUUNY,일하면서 듣고 있는데 넘나 신나는것,0,0
159,파란하늘,덕분에 위로받아요. 정신없는 오전을 보내고 잠시 쉬어갑니다. 고마워요 에센셜,0,0
160,Аружан Калышбек,Every time don’t tired of this playlist ,0,0
161,젠틀원,다른 채널에선 몇곡 지나가면 지루해 졌는데 여긴 아니네요 구독 하고 갑니다.,1,1
162,새우깡,와 노래 다 좋아 미쳤다 대박이다 이 리스트,0,0
163,곽두칠,제가 유일하게 듣는 음악 채널이에요 사랑해 에센셜~~,60,60
164,admire yul,"미쳤다 아니진짜 제목이 하고픈 말임,, ㅜㅠㅡ에센셜 님 최고임",0,0
165,P,이번 플리 미쳤다 역대급,0,0
166,Wavysz,찐맛집이다.. 다른집은 첫곡만 그럴싸한데요 이 집은 속까지 알찹니다 대박이다,0,0
167,LoJ,가는곳마다 이 플레이리스트 최애 이 댓글을 보게된 분은 오늘 행운이 가득하고 생기가 넘쳐 흐릅니다,1,1
168,Haemie,노래 너무 좋아요 미쳤어요ㅠㅜㅜㅜㅜㅜ 듣다가 너무좋아서 차에서 눈물이 또르르 감사합니다,1,1
169,ella,울 동네 카페에서 이 플레이리스트 그 대 로 매일 틀어주는데 노래들 싹 다 너무 좋아서 공부하러 카페갈 맛 나는데... 이 영상 찾아서...이제 집에 있어도 들을 수 있네... 큰일이다 집에서 공부 잘 못하는뎁..쩝.,26,26
170,쏭쏭쏭,뭐야... 10초만에 완전 취향저격 ㅠㅠㅠ,0,0
171,꽃마차,노래하나하나 다 명곡이네 최초로 안나가고 전곡다들었당 ㅎㅎ,0,0
172,채기현,노래 너무 좋아요 ㅠㅠ,0,0
173,초코티파니,갬성 너무 좋은 노래들만 있네요 ;) 감사합니당,0,0
174,정예은,에센셜님 노래들으려고 유투브 프리미엄 질럿습니다 너무너무어뮤너무너무 좋아용,0,0
175,숑숑숑,항상 잘 듣고 있습니다.건의할께 있는데 영상에 노래제목 표시할순 없을까요?노래가 좋아서 무슨노래지 보려고하는데 확인하기가 힘드네요~,3,3
176,Miley,"예전부터 느꼈지만 진짜 =ㅋㅋㅋㅋㅋ 첫곡부터 장난없다,,, 어.... 진짜 좋다구",0,0
177,Mj life❤️,이건 좀 듣는 레벨이 아니네요.. 찐이다찐...,0,0
178,ch22tah,저 이거 맨날 들음.. 진짜 딱 적당하게 신나고..넘 좋아,0,0
179,김민주,내차타는 친구한테 들려주고 싶은 플리라는 소개가 넘 맘에들어서 바로 구독 박았심다,1,1
180,Holly molly,미쳤다...첫노래부터 그냥 바로 꽂혔다,0,0
181,포말좋아,ㄷㄷ 첫곡부터 지린다...구독 박고갑니다..ㄷㄷ,19,19
182,sweet piano,"요즘 산책할때 이거듣고 ,,이플리 너무 좋아요노래들을일있을때마다 이거만 들어오 요즘  ♡",1,1
183,알수없음,노래좋다 첫곡부터.. ,0,0
184,오지은,와 요즘 들을노래 1도 없었는데 진짜  ㅠㅜㅠ감사합니다ㅠ,2,2
185,뿌뿌,이번 playlist가 젤 좋아용 .. 루미너스 짱,0,0
186,noname user,우연히 알게되어서 매일 노동요처럼 듣고있음... 세상에서 제일 능력있는 사람 된 것 같은 그런 느낌 들게 하는 플리임ㅠㅠㅠ,16,16
187,릴잠,기대안하고 봤다가 첫곡 딱 듣고 이거다 싶네요.너무 좋아여...!!,1,1
188,구 박,오늘의 집에 웬 티비마다 에센셜이 떠있길래 먼가 했더니 이거군여 노래 개좋네,0,0
189,뗄리Look,이 모음이 최고 조합 ㅠㅠㅠ 매일 들어와요오,0,0
190,J P,많이많이 번창하세요~~~ 너무 좋네요^^,0,0
191,lsy2230,완전 취저에요,0,0
192,뭐얌뭐얌,57:14 Time 진짜 좋아하는데  다른곡도 믿고들어볼게요!,5,5
193,하나데일 Hana daily,"와 노래 미쳤다,,, 프리미엄 아니여서 그냥 틀고 듣고 있다가 광고 나오는데 그것도 노래로 된 광고라 눈치 못채고 있다가 이상한 노래 나와서 암ㅋㅋㅋ",0,0
194,속닥속닥,벅스에서 같은 플레이리스트 있어서 그대로 배껴온건가...했는데 설명란에 써놓으셨네요 ㅋㅋㅋ 유튜브로도 만들어주셔서 감사합니다. (벅스는 유튜브 뮤직이 경쟁사라 별로 안좋아하겠지만...) 루미너스님도 추천해주신 음악 잘 듣고 있습니다. 감사해요!,21,21
195,reni Awalia,첫곡부터 노래가 너무 좋아서 한시간동안 시간가는줄 모르고 들었어요 공부할때 들으니까 집중도 완전 잘되고 좋습니다 앞으로 공부할때 자주 들으려고합니다,8,8
196,nike shoe,"아니, 이런 노래는 어떻게 아는거야?? 너무 좋자나!!!!",0,0
197,Star Dugan,와.. 첫곡부터 너무좋아서 고개가 멈추질않음,0,0
198,Eba Andie,"아니, 이런 노래는 어떻게 아는거야?? 너무 좋자나!!!!",0,0
199,minjin,듣자마자 반한 플리 감사합니다 잘 들을게요,0,0
200,Daily Cloud and Sky,믿고 듣는 에센셜,1,1
201,똥파리,와 너무좋다,0,0
202,ㅎㅎ,와 이번 플리 미쳤어요 진짜로...,0,0
203,raymond.w.w,Just love it!,6,6
204,깨순이,이런노래는 대체 장르가 뭔가요? 힙합..?! 진짜 너무 최고에요️,0,0
205,서진,이 플리는 진짜 ㄹㅈㄷ에요. 지금도 가끔 들으러 옵니다!!!,0,0
206,음악 작은 코너,이거이거 약간 창문에 햇빛 들어오는 화창한 날씨에 토요일 한 10시 쯤에 일어나서 스트레칭 느긋하게 하면서 들으면 좋은 느낌...! 아 나만 그런 건가...?,0,0
207,건보카도,진짜 너무 좋아요 감사합니다:),0,0
208,Park Dias,이런 노래들을 왜 난 몰랐지... 고맙습니다,0,0
